area,RH,wind,temp,occurance
0,51,6.7,8.2,0
0,33,0.9,18,0
0,33,1.3,14.6,0
0,97,4,8.3,0
0,99,1.8,11.4,0
0,29,5.4,22.2,0
0,27,3.1,24.1,0
0,86,2.2,8,0
0,63,5.4,13.1,0
0,40,4,22.8,0
0,51,7.2,17.8,0
0,38,4,19.3,0
0,72,6.7,17,0
0,42,2.2,21.3,0
0,21,4.5,26.4,0
0,44,5.4,22.9,0
0,27,5.4,15.1,0
0,47,4.9,16.7,0
0,35,4,15.9,0
0,44,4.5,9.3,0
0,40,2.7,18.3,0
0,38,2.7,19.1,0
0,44,4.5,21,0
0,43,5.8,19.5,0
0,32,5.8,23.7,0
0,60,5.4,16.3,0
0,34,5.8,19,0
0,48,1.3,19.4,0
0,24,2.7,30.2,0
0,39,3.6,22.8,0
0,24,3.6,25.4,0
0,78,7.6,11.2,0
0,37,1.8,20.6,0
0,39,3.6,17.7,0
0,32,2.7,21.2,0
0,62,4.5,18.2,0
0,24,4.5,21.7,0
0,60,5.4,11.3,0
0,27,4,17.8,0
0,43,2.7,14.1,0
0,37,3.1,23.3,0
0,42,6.7,18.4,0
0,54,5.4,16.6,0
0,48,2.7,19.6,0
0,74,4.9,12.9,0
0,24,4,25.9,0
0,70,3.6,14.7,0
0,36,3.1,23,0
0,35,1.8,11.8,0
0,46,5.8,11,0
0,17,1.3,20.8,0
0,34,2.2,21.5,0
0,42,4.9,20.4,0
0,42,4.9,20.4,0
0,45,3.6,17.6,0
0,24,2.2,27.7,0
0,63,4.9,17.8,0
0,50,2.7,13.8,0
0,40,5.4,13.9,0
0,51,0.9,12.3,0
0,39,5.8,11.5,0
0,59,6.3,5.5,0
0,35,4.9,18.8,0
0,33,2.7,20.8,0
0,31,3.1,23.1,0
0,44,4.5,18.6,0
0,37,4.5,23,0
0,33,5.4,19.6,0
0,33,6.3,19.6,0
0,26,4.5,17.2,0
0,27,7.6,15.8,0
0,37,3.6,17.7,0
0,25,6.3,15.6,0
0,43,4.5,17.3,0
0,30,1.3,27.6,0
0,79,3.1,6.7,0
0,43,3.1,15.7,0
0,72,3.1,8.3,0
0,66,2.7,14.7,0
0,19,6.7,21.6,0
0,39,6.3,19.5,0
0,44,2.2,17.9,0
0,51,4.5,18.6,0
0,47,0.9,16.6,0
0,45,3.6,20.2,0
0,15,0.9,21.5,0
0,27,2.2,25.4,0
0,34,2.2,22.4,0
0,36,3.6,25.3,0
0,25,4.9,17.4,0
0,59,5.8,14.7,0
0,24,5.4,17.4,0
0,32,6.3,20.8,0
0,43,4.9,18.2,0
0,22,2.7,23.4,0
0,64,1.3,17.8,0
0,48,1.8,12.7,0
0,24,5.4,17.4,0
0,87,4.5,11.6,0
0,39,5.4,19.8,0
0,39,5.4,19.8,0
0,66,5.4,14.4,0
